iter	Logloss
0	0.6184055273
1	0.5730145062
2	0.5450340713
3	0.5259841038
4	0.5151443526
5	0.5072473924
6	0.5029652212
7	0.4999716801
8	0.4974872174
9	0.4963124649
10	0.4951687477
11	0.4941928637
12	0.4936438592
13	0.4929002725
14	0.4923316285
15	0.4917579225
16	0.4912699625
17	0.4908392861
18	0.4901455091
19	0.4897766634
20	0.4892346936
21	0.4887993196
22	0.4884353973
23	0.4878539543
24	0.4873417381
25	0.4868307638
26	0.4865802864
27	0.486330337
28	0.4858001946
29	0.4852595026
30	0.4847397136
31	0.4845046721
32	0.4843355392
33	0.4841299429
34	0.4837815879
35	0.4833479545
36	0.4829099541
37	0.4826046354
38	0.482156383
39	0.4818957141
40	0.4812800889
41	0.4810672591
42	0.4807664017
43	0.4803641632
44	0.4800041869
45	0.4795710885
46	0.4793735799
47	0.4790235592
48	0.4785835368
49	0.4783062939
50	0.4779468888
51	0.4774951084
52	0.4770007027
53	0.4765540991
54	0.4763541626
55	0.4759225397
56	0.475386065
57	0.4747388562
58	0.474295373
59	0.4736228145
60	0.4730876146
61	0.4727249918
62	0.4722060471
63	0.4715803505
64	0.4711214464
65	0.4708971421
66	0.4705096379
67	0.4702162151
68	0.4696838093
69	0.4692383449
70	0.4686158754
71	0.4680441848
72	0.467747165
73	0.4672916302
74	0.4668153533
75	0.4662480374
76	0.4658251701
77	0.465198077
78	0.4648391486
79	0.464339341
80	0.4639742718
81	0.4637480199
82	0.4634114153
83	0.4627433437
84	0.4624047265
85	0.4618990777
86	0.4613844301
87	0.4608135188
88	0.4603291473
89	0.4596508014
90	0.459089321
91	0.4585734676
92	0.4582269336
93	0.4578918701
94	0.4572180166
95	0.4568477847
96	0.4565944266
97	0.4562139912
98	0.4556833408
99	0.4552346906
100	0.4547193955
101	0.4543258834
102	0.4539914434
103	0.4534678642
104	0.4532893689
105	0.4528588236
106	0.4526604729
107	0.4525822004
108	0.4522199444
109	0.4520189664
110	0.4517187539
111	0.4516920965
112	0.4514945667
113	0.4512882118
114	0.4509867321
115	0.4504570685
116	0.4499595462
117	0.4494326291
118	0.4489444327
119	0.4485892888
120	0.4481412065
121	0.447653134
122	0.4470589315
123	0.4465989848
124	0.446115777
125	0.4455702694
126	0.4452975922
127	0.4450365622
128	0.4446034682
129	0.4441653477
130	0.4437225804
131	0.4434247393
132	0.443160824
133	0.442884916
134	0.4425136782
135	0.4424005669
136	0.4420054742
137	0.4415880854
138	0.4412156274
139	0.440800098
140	0.4401918178
141	0.4401570332
142	0.4399975318
143	0.4395533115
144	0.439372688
145	0.4388655046
146	0.4383163198
147	0.4379810488
148	0.4376919868
149	0.4373886438
150	0.4370447059
151	0.4367756081
152	0.4364807643
153	0.4361974496
154	0.4356726643
155	0.43519132
156	0.4351678739
157	0.434688299
158	0.4344658572
159	0.4341681376
160	0.4337419569
161	0.4332364548
162	0.4328406081
163	0.4326202719
164	0.4322489613
165	0.4317172127
166	0.4315236623
167	0.4312616247
168	0.4309637854
169	0.4308292025
170	0.4305023124
171	0.4302614562
172	0.4298387237
173	0.4295444581
174	0.4292042967
175	0.4286799283
176	0.4286057978
177	0.4284376196
178	0.4281144155
179	0.4277785774
180	0.4273455645
181	0.4271041485
182	0.4267867461
183	0.4263921818
184	0.4259585754
185	0.4255537099
186	0.4251018862
187	0.424737044
188	0.4243946814
189	0.424067008
190	0.4239903379
191	0.4235863909
192	0.4233278852
193	0.4228281754
194	0.4223371057
195	0.4217505874
196	0.4212463639
197	0.4209155631
198	0.4203268808
199	0.420117269
200	0.4196296529
201	0.4192293292
202	0.4187819043
203	0.4185460765
204	0.4181484629
