iter	Passed	Remaining
0	3	3557
1	6	3490
2	10	3466
3	13	3465
4	17	3499
5	21	3508
6	24	3471
7	27	3448
8	31	3463
9	34	3438
10	37	3410
11	41	3390
12	44	3380
13	48	3382
14	51	3397
15	55	3400
16	58	3405
17	62	3418
18	66	3410
19	69	3407
20	73	3416
21	77	3438
22	81	3452
23	85	3458
24	88	3450
25	91	3442
26	95	3450
27	99	3455
28	103	3463
29	107	3470
30	111	3474
31	115	3482
32	118	3485
33	122	3484
34	126	3474
35	129	3468
36	133	3472
37	137	3471
38	140	3473
39	145	3481
40	148	3480
41	152	3482
42	156	3483
43	160	3484
44	164	3485
45	168	3485
46	171	3482
47	175	3487
48	179	3486
49	183	3483
50	186	3474
51	190	3465
52	194	3468
53	198	3475
54	202	3472
55	205	3470
56	209	3469
57	213	3469
58	217	3468
59	220	3459
60	224	3449
61	227	3444
62	231	3445
63	235	3444
64	239	3442
65	242	3436
66	246	3430
67	249	3422
68	253	3417
69	257	3417
70	261	3421
71	265	3417
72	268	3412
73	272	3407
74	275	3401
75	279	3395
76	282	3392
77	286	3392
78	290	3386
79	293	3378
80	297	3371
81	300	3364
82	304	3361
83	307	3356
84	311	3348
85	315	3347
86	318	3345
87	322	3346
88	326	3341
89	329	3335
90	333	3330
91	336	3324
92	340	3318
93	343	3312
94	347	3311
95	351	3309
96	355	3309
97	359	3307
98	362	3302
99	366	3296
100	369	3292
101	373	3286
102	376	3280
103	380	3273
104	383	3268
105	386	3263
106	390	3261
107	394	3255
108	397	3249
109	401	3244
110	404	3239
111	407	3234
112	411	3227
113	414	3222
114	418	3217
115	421	3214
116	425	3212
117	429	3210
118	433	3208
119	436	3202
120	440	3197
121	443	3193
122	447	3189
123	450	3184
124	454	3180
125	457	3175
126	461	3173
127	465	3171
128	469	3168
129	472	3164
130	476	3158
131	479	3154
132	483	3149
133	486	3145
134	490	3141
135	493	3136
136	497	3134
137	501	3132
138	505	3129
139	508	3125
140	512	3119
141	515	3115
142	519	3110
143	522	3105
144	525	3099
145	529	3096
146	532	3092
147	536	3086
148	539	3083
149	543	3078
150	546	3074
151	550	3069
152	553	3064
153	557	3060
154	560	3057
155	564	3053
156	568	3050
157	572	3048
158	576	3047
159	579	3043
160	583	3039
161	586	3034
162	590	3030
163	593	3025
164	596	3020
165	600	3015
166	603	3010
167	607	3007
168	611	3005
169	615	3003
170	618	2998
171	622	2994
172	625	2990
173	629	2986
174	632	2981
175	636	2978
176	639	2974
177	643	2971
178	647	2970
179	651	2968
180	655	2966
181	659	2963
182	663	2960
183	666	2956
184	670	2951
185	673	2948
186	677	2945
187	681	2943
188	685	2941
189	688	2936
190	692	2932
191	695	2928
192	699	2924
193	703	2921
194	707	2918
195	710	2915
196	714	2912
197	717	2907
198	721	2904
199	725	2900
200	728	2895
201	731	2891
202	735	2887
203	739	2883
204	743	2881
205	746	2877
206	749	2872
207	753	2869
208	757	2865
209	760	2861
210	764	2857
211	768	2855
212	771	2852
213	775	2848
214	778	2843
215	782	2839
216	786	2836
217	789	2833
218	793	2830
219	797	2826
220	800	2822
221	804	2818
222	807	2815
223	811	2812
224	815	2810
225	819	2806
226	822	2802
227	826	2798
228	830	2794
229	833	2791
230	837	2786
231	840	2782
232	844	2778
233	847	2775
234	851	2772
235	855	2769
236	858	2764
237	862	2760
238	865	2756
239	869	2752
240	872	2747
241	875	2743
242	879	2739
243	883	2737
244	887	2734
245	891	2732
246	894	2727
247	898	2723
248	901	2719
249	905	2715
250	908	2711
251	912	2707
