iter	Passed	Remaining
0	153	153381
1	293	146639
2	522	173624
3	665	165767
4	787	156806
5	917	152073
6	1064	150967
7	1219	151189
8	1358	149563
9	1460	144580
10	1600	143880
11	1737	143036
12	1880	142749
13	2019	142210
14	2152	141324
15	2307	141920
16	2452	141808
17	2624	143170
18	2803	144772
19	3019	147976
20	3182	148373
21	3344	148662
22	3494	148438
23	3637	147907
24	3777	147321
25	3940	147632
26	4097	147655
27	4236	147081
28	4373	146424
29	4497	145428
30	4648	145311
31	4792	144970
32	4920	144180
33	5051	143531
34	5211	143681
35	5406	144767
36	5544	144296
37	5730	145069
38	5900	145383
39	6074	145792
40	6381	149275
41	6665	152027
42	6891	153378
43	7100	154270
44	7251	153902
45	7418	153843
46	7546	153022
47	7680	152337
48	7833	152031
49	7968	151398
50	8113	150969
51	8260	150601
52	8388	149888
53	8537	149558
54	8655	148712
55	8796	148284
56	8930	147738
57	9098	147764
58	9243	147430
59	9397	147229
60	9519	146541
61	9657	146102
62	9820	146066
63	9974	145876
64	10094	145210
65	10223	144673
66	10370	144411
67	10512	144076
68	10654	143751
69	10784	143280
70	10919	142880
71	11079	142799
72	11196	142185
73	11326	141740
74	11474	141524
75	11637	141492
76	11776	141161
77	11909	140778
78	12068	140699
79	12218	140516
80	12363	140275
81	12497	139910
82	12640	139652
83	12788	139459
84	12916	139039
85	13053	138727
86	13191	138430
87	13328	138128
88	13474	137920
89	13600	137513
90	13732	137171
91	13848	136675
92	13959	136143
93	14119	136087
94	14255	135800
95	14426	135845
96	14564	135586
97	14726	135539
98	14886	135484
99	15018	135165
100	15162	134957
101	15285	134571
102	15431	134386
103	15555	134016
104	15686	133708
105	15850	133685
106	16003	133565
107	16154	133428
108	16295	133202
109	16423	132884
110	16536	132442
111	16679	132245
112	16822	132052
113	16948	131721
114	17161	132070
115	17282	131705
116	17432	131560
117	17567	131306
118	17718	131174
119	17866	131017
120	18017	130889
121	18149	130617
122	18278	130326
123	18410	130063
124	18544	129811
125	18685	129612
126	18848	129566
127	18985	129341
128	19127	129150
129	19266	128939
130	19399	128687
131	19510	128293
132	19633	127984
133	19760	127709
134	19873	127334
135	19970	126874
136	20098	126607
137	20219	126296
138	20347	126035
139	20490	125868
140	20620	125626
141	20740	125321
142	20874	125100
143	21011	124902
144	21145	124686
145	21258	124348
146	21394	124148
147	21523	123903
148	21668	123759
149	21807	123573
150	21925	123279
151	22056	123054
152	22165	122707
153	22295	122481
154	22437	122322
155	22540	121951
156	22646	121596
157	22791	121460
158	22918	121221
159	23056	121046
160	23200	120903
161	23331	120689
162	23472	120533
163	23606	120334
164	23767	120280
165	23914	120148
166	24018	119802
167	24154	119622
168	24271	119347
169	24412	119190
170	24557	119053
171	24654	118686
172	24771	118417
173	24909	118248
174	25044	118068
175	25157	117783
176	25289	117590
177	25417	117376
178	25550	117189
179	25670	116945
180	25853	116983
181	25975	116746
182	26080	116437
183	26205	116214
184	26319	115948
185	26448	115748
186	26595	115625
187	26733	115468
188	26856	115241
189	26975	114999
190	27114	114844
191	27225	114572
192	27373	114456
193	27483	114184
194	27645	114125
195	27787	113986
196	27910	113769
197	28076	113722
198	28221	113593
199	28382	113531
200	28533	113422
201	28657	113212
