iter	Accuracy	Logloss
0	0.723455654	0.6855610384
1	0.7238007592	0.6786648196
2	0.723455654	0.6727386592
3	0.723455654	0.6651307455
4	0.7233406189	0.660005231
5	0.7233406189	0.6549093978
6	0.7233406189	0.6502371615
7	0.7233406189	0.6458793757
8	0.7233406189	0.6397209611
9	0.7233406189	0.635393172
10	0.7233406189	0.6315544699
11	0.7233406189	0.6271317299
12	0.7233406189	0.6245362571
13	0.7233406189	0.6205849412
14	0.7233406189	0.6155528781
15	0.7233406189	0.6121626112
16	0.7233406189	0.6082824326
17	0.7233406189	0.6062408119
18	0.7233406189	0.6042348426
19	0.7233406189	0.6018045843
20	0.7233406189	0.5983404156
21	0.7233406189	0.5960107456
22	0.7233406189	0.5931081885
23	0.7233406189	0.5897910764
24	0.7233406189	0.5884292322
25	0.7233406189	0.586335543
26	0.7233406189	0.584964022
27	0.7233406189	0.5836428713
28	0.7233406189	0.5808028932
29	0.7233406189	0.579600196
30	0.7233406189	0.5769627092
31	0.7233406189	0.575088121
32	0.7233406189	0.5732575784
33	0.7233406189	0.5723562767
34	0.7233406189	0.5703439263
35	0.7233406189	0.5686056888
36	0.7233406189	0.5674053602
37	0.7233406189	0.5658373276
38	0.7233406189	0.56502412
39	0.7233406189	0.5639315237
40	0.7233406189	0.5631869411
41	0.7233406189	0.5619313372
42	0.7233406189	0.5611669945
43	0.7233406189	0.5605640064
44	0.7233406189	0.5590616359
45	0.7233406189	0.5576249538
46	0.7233406189	0.5558690218
47	0.7233406189	0.5547545594
48	0.7233406189	0.5536999736
49	0.7233406189	0.55288891
50	0.7233406189	0.5519082336
51	0.7233406189	0.5505614589
52	0.7233406189	0.5499230867
53	0.7233406189	0.5494047013
54	0.7233406189	0.5490512957
55	0.7233406189	0.5487151521
56	0.7233406189	0.5481647996
57	0.7233406189	0.5474730677
58	0.7233406189	0.5462905841
59	0.7233406189	0.545468171
60	0.7233406189	0.5449899256
61	0.7233406189	0.5440436074
62	0.7233406189	0.5435057013
63	0.7233406189	0.5426659358
64	0.7233406189	0.5423904449
65	0.7233406189	0.5419648701
66	0.7233406189	0.5417540242
67	0.7233406189	0.5415085091
68	0.7233406189	0.5405215534
69	0.7233406189	0.5398611878
70	0.7233406189	0.538967276
71	0.7233406189	0.5382464275
72	0.7233406189	0.53781267
73	0.7233406189	0.5376159194
74	0.7233406189	0.537081336
75	0.7233406189	0.5368015084
76	0.7233406189	0.5362119138
77	0.7233406189	0.5353658685
78	0.7233406189	0.5349473469
79	0.7233406189	0.5343994671
80	0.7233406189	0.5340062842
81	0.7233406189	0.533306267
82	0.7233406189	0.5327446667
83	0.7233406189	0.5324205423
84	0.7233406189	0.5320042997
85	0.7233406189	0.531883398
86	0.7233406189	0.5317296503
87	0.7233406189	0.5315012035
88	0.7233406189	0.5313371718
89	0.7233406189	0.5310605015
90	0.7233406189	0.5307399141
91	0.7233406189	0.5306395938
92	0.7233406189	0.5303162183
93	0.7233406189	0.530160528
94	0.7233406189	0.5295808603
95	0.7233406189	0.5291849082
96	0.7233406189	0.5289588711
97	0.7243759347	0.5288114187
