iter	Passed	Remaining
0	69	104098
1	80	60630
2	94	47044
3	105	39388
4	116	34895
5	128	32031
6	144	30766
7	162	30325
8	173	28778
9	185	27692
10	197	26743
11	212	26394
12	224	25629
13	236	25071
14	247	24482
15	265	24651
16	278	24328
17	295	24362
18	307	23932
19	318	23550
20	339	23902
21	360	24211
22	371	23858
23	383	23555
24	394	23277
25	405	23015
26	413	22537
27	424	22303
28	435	22079
29	442	21683
30	457	21688
31	479	21976
32	490	21793
33	496	21412
34	508	21270
35	519	21123
36	530	20984
37	551	21210
38	562	21066
39	574	20953
40	583	20751
41	594	20628
42	615	20855
43	626	20738
44	637	20625
45	658	20822
46	679	21006
47	700	21187
48	711	21078
49	722	20963
50	738	20974
51	749	20867
52	760	20763
53	771	20666
54	782	20571
55	794	20476
56	805	20393
57	816	20302
58	827	20220
59	839	20138
60	850	20061
61	865	20081
62	877	20011
63	888	19934
64	899	19865
65	910	19791
66	942	20151
67	949	19992
68	960	19919
69	971	19852
70	982	19782
71	1004	19928
72	1026	20070
73	1038	20009
74	1050	19950
75	1061	19896
76	1073	19838
77	1085	19791
78	1097	19739
79	1108	19682
80	1120	19628
81	1131	19572
82	1143	19519
83	1157	19514
84	1169	19470
85	1181	19426
86	1192	19373
87	1204	19319
88	1215	19266
89	1226	19215
90	1237	19163
91	1249	19117
92	1260	19077
93	1272	19032
94	1283	18983
95	1294	18934
96	1305	18886
97	1314	18806
98	1325	18759
99	1336	18712
100	1347	18670
101	1359	18628
102	1371	18595
103	1384	18578
104	1395	18541
105	1406	18500
106	1418	18461
107	1429	18421
108	1440	18381
109	1451	18342
110	1463	18308
111	1475	18289
112	1486	18251
113	1497	18210
114	1509	18174
115	1520	18143
116	1532	18111
117	1543	18077
118	1554	18043
119	1566	18013
120	1578	17987
121	1589	17952
122	1600	17919
123	1611	17885
124	1622	17850
125	1633	17814
126	1644	17782
127	1656	17752
128	1667	17720
129	1678	17690
130	1690	17662
131	1702	17645
132	1714	17624
133	1727	17606
134	1759	17786
135	1770	17761
136	1782	17737
137	1794	17710
138	1806	17687
139	1818	17664
140	1830	17641
141	1842	17617
142	1854	17595
143	1866	17572
144	1877	17542
145	1888	17514
146	1899	17484
147	1911	17459
148	1923	17437
149	1934	17411
150	1946	17386
151	1958	17366
152	1970	17347
153	1981	17319
154	1993	17298
155	2004	17270
156	2015	17242
157	2026	17215
158	2038	17190
159	2049	17168
160	2059	17125
161	2070	17097
162	2081	17072
163	2092	17047
164	2104	17023
165	2115	16998
166	2126	16973
167	2137	16947
168	2148	16922
169	2160	16899
170	2171	16876
171	2182	16852
172	2194	16829
173	2205	16803
174	2216	16782
175	2227	16758
176	2239	16739
177	2250	16716
178	2262	16694
179	2273	16669
180	2284	16647
181	2295	16624
182	2306	16601
183	2318	16581
184	2329	16558
185	2340	16535
186	2351	16513
187	2363	16491
188	2374	16468
189	2385	16446
190	2397	16428
191	2408	16406
192	2419	16385
193	2430	16364
194	2442	16343
195	2453	16322
196	2464	16303
197	2476	16286
198	2484	16240
199	2495	16219
200	2506	16196
201	2517	16175
202	2528	16155
203	2540	16140
204	2551	16119
205	2563	16103
206	2574	16082
207	2586	16063
208	2597	16044
209	2608	16024
210	2620	16007
211	2631	15987
212	2643	15970
213	2654	15950
214	2665	15930
215	2676	15912
216	2688	15895
217	2699	15875
218	2710	15855
219	2721	15836
220	2733	15818
221	2744	15798
222	2755	15780
223	2766	15761
224	2778	15742
225	2789	15722
226	2800	15705
227	2812	15691
228	2823	15673
229	2835	15654
230	2846	15637
231	2857	15618
232	2869	15603
233	2881	15587
234	2892	15568
235	2903	15549
236	2914	15532
237	2925	15514
238	2937	15497
239	2948	15479
240	2959	15462
241	2971	15444
242	2982	15426
243	2993	15410
244	3005	15393
245	3016	15375
246	3027	15358
247	3038	15340
248	3049	15323
249	3060	15304
250	3072	15287
251	3083	15269
252	3094	15253
253	3104	15226
254	3115	15209
255	3127	15195
256	3138	15178
257	3149	15162
258	3161	15146
259	3172	15129
260	3183	15112
261	3194	15095
262	3205	15079
263	3217	15063
264	3228	15047
265	3239	15030
266	3251	15016
267	3263	15000
268	3274	14984
269	3285	14967
270	3297	14952
271	3308	14937
272	3320	14921
273	3331	14908
274	3343	14892
275	3354	14876
276	3365	14859
277	3377	14846
278	3388	14829
279	3399	14814
280	3411	14797
281	3422	14781
282	3433	14765
283	3444	14748
284	3455	14733
285	3467	14717
286	3478	14703
287	3490	14687
288	3499	14665
289	3510	14648
290	3522	14633
291	3533	14616
292	3544	14602
293	3556	14590
294	3568	14575
295	3579	14559
296	3590	14544
297	3602	14528
298	3613	14512
299	3624	14497
300	3635	14481
301	3646	14465
302	3657	14449
303	3669	14434
304	3680	14421
305	3692	14406
306	3703	14391
307	3714	14376
308	3726	14362
309	3737	14347
310	3748	14331
311	3759	14316
312	3770	14300
313	3782	14285
314	3786	14244
315	3797	14229
316	3809	14214
317	3820	14202
318	3832	14188
319	3843	14173
320	3855	14159
321	3866	14144
322	3877	14130
323	3889	14116
324	3900	14102
325	3911	14087
326	3923	14073
327	3934	14058
328	3945	14044
329	3956	14029
330	3968	14014
331	3979	14001
332	3991	13987
333	4002	13973
334	4013	13958
335	4025	13944
336	4037	13932
337	4048	13917
338	4059	13902
339	4070	13888
340	4081	13873
341	4094	13864
342	4105	13849
343	4117	13835
344	4128	13823
345	4136	13795
346	4147	13782
347	4159	13768
348	4170	13753
349	4181	13738
350	4192	13724
351	4203	13709
352	4214	13695
353	4226	13681
354	4237	13666
355	4248	13652
356	4259	13638
357	4270	13623
358	4282	13609
359	4293	13595
360	4304	13581
361	4315	13567
362	4325	13547
363	4336	13533
364	4347	13519
365	4358	13504
366	4369	13490
367	4381	13476
368	4392	13462
369	4403	13448
370	4414	13434
371	4426	13420
372	4437	13407
373	4448	13393
374	4459	13379
375	4470	13365
376	4482	13350
377	4493	13337
378	4504	13323
379	4515	13308
380	4526	13295
381	4538	13281
382	4549	13267
383	4560	13254
384	4571	13240
385	4582	13226
386	4594	13212
387	4605	13199
388	4616	13185
389	4627	13171
390	4639	13158
391	4650	13144
392	4662	13132
393	4673	13118
394	4684	13105
395	4696	13092
396	4707	13078
397	4718	13064
398	4729	13051
399	4740	13036
400	4751	13022
401	4762	13008
402	4773	12994
403	4785	12981
404	4796	12968
405	4807	12954
406	4818	12940
407	4830	12929
408	4841	12915
409	4853	12902
410	4864	12889
411	4875	12875
412	4887	12862
413	4898	12849
414	4909	12835
415	4920	12822
416	4931	12808
417	4943	12795
418	4954	12781
419	4965	12768
420	4976	12755
421	4988	12743
422	5000	12731
423	5011	12718
424	5023	12706
425	5034	12692
426	5045	12679
427	5057	12666
428	5068	12653
429	5079	12640
430	5091	12627
431	5102	12614
432	5114	12602
433	5125	12589
434	5136	12576
435	5148	12563
436	5159	12549
437	5170	12536
438	5181	12522
439	5192	12509
440	5203	12496
441	5215	12483
442	5226	12470
443	5237	12457
444	5248	12444
445	5260	12430
446	5271	12417
447	5282	12404
448	5293	12391
449	5304	12378
450	5315	12364
451	5327	12351
452	5338	12338
453	5349	12324
454	5360	12311
455	5371	12298
456	5383	12285
457	5394	12273
458	5405	12260
459	5417	12247
460	5428	12235
461	5440	12223
462	5451	12211
463	5463	12198
464	5474	12186
465	5486	12173
466	5497	12160
467	5509	12149
468	5521	12138
469	5533	12126
470	5545	12115
471	5557	12103
472	5569	12091
473	5580	12079
474	5591	12066
475	5603	12054
476	5614	12041
477	5626	12029
478	5637	12016
479	5649	12004
480	5660	11992
481	5671	11979
482	5683	11966
483	5694	11953
484	5706	11942
485	5718	11931
486	5730	11919
487	5741	11906
488	5753	11894
489	5764	11881
490	5776	11870
491	5787	11858
492	5799	11845
493	5810	11833
494	5822	11822
495	5834	11810
496	5846	11798
497	5857	11786
498	5869	11774
499	5880	11761
500	5892	11750
501	5904	11737
502	5915	11726
503	5927	11713
504	5938	11701
505	5950	11689
506	5962	11677
507	5973	11665
508	5985	11653
509	5996	11640
510	6008	11628
511	6019	11616
512	6031	11603
513	6042	11591
514	6054	11579
515	6065	11567
516	6077	11555
517	6089	11543
518	6101	11532
519	6112	11519
520	6124	11507
521	6135	11495
522	6146	11482
523	6158	11471
524	6170	11459
525	6181	11446
526	6193	11434
527	6204	11422
528	6216	11409
529	6227	11397
530	6239	11385
531	6250	11373
532	6262	11361
533	6273	11349
534	6285	11336
535	6296	11324
536	6308	11313
537	6320	11300
538	6331	11288
539	6343	11276
540	6354	11264
541	6366	11252
542	6377	11240
543	6389	11228
544	6400	11215
545	6412	11203
546	6423	11191
547	6435	11179
548	6446	11167
549	6458	11155
550	6469	11143
551	6481	11130
552	6492	11118
553	6504	11106
554	6515	11094
555	6527	11083
556	6539	11070
557	6550	11058
558	6562	11046
559	6573	11034
560	6585	11022
561	6596	11010
562	6608	10999
563	6620	10986
564	6631	10974
565	6643	10962
566	6655	10951
567	6666	10939
568	6678	10926
569	6689	10914
570	6701	10902
571	6712	10890
572	6723	10877
573	6734	10865
574	6746	10852
575	6757	10840
576	6769	10828
577	6780	10816
578	6792	10804
579	6803	10791
580	6815	10779
581	6826	10767
582	6838	10755
583	6849	10743
584	6861	10731
585	6872	10719
586	6883	10707
587	6895	10695
588	6907	10683
589	6918	10670
590	6930	10660
591	6942	10648
592	6953	10636
593	6965	10624
594	6977	10612
595	6988	10600
596	6999	10587
597	7011	10575
598	7023	10563
599	7034	10551
600	7045	10539
601	7057	10527
602	7068	10515
603	7080	10503
604	7091	10490
605	7103	10479
606	7114	10466
607	7126	10454
608	7137	10443
609	7149	10430
610	7160	10418
611	7172	10407
612	7184	10395
613	7195	10383
614	7207	10371
615	7218	10358
616	7229	10346
617	7241	10334
618	7252	10322
619	7264	10310
620	7275	10298
621	7287	10286
622	7298	10274
623	7310	10262
624	7321	10250
625	7333	10238
626	7344	10226
627	7356	10214
628	7367	10202
629	7379	10190
630	7390	10178
631	7402	10166
632	7414	10154
633	7425	10142
634	7436	10130
635	7448	10118
636	7459	10106
637	7471	10094
638	7482	10082
639	7494	10070
640	7505	10058
641	7517	10047
642	7529	10035
643	7540	10023
644	7552	10011
645	7563	9999
646	7575	9987
647	7586	9975
648	7598	9963
649	7609	9951
650	7621	9939
651	7632	9927
652	7644	9915
653	7656	9903
654	7667	9891
655	7679	9879
656	7690	9867
657	7702	9856
658	7713	9843
659	7724	9831
660	7736	9819
661	7747	9807
662	7759	9795
663	7770	9783
664	7781	9771
665	7793	9758
666	7804	9746
667	7815	9734
668	7827	9722
669	7838	9710
670	7850	9699
671	7861	9687
672	7873	9675
673	7885	9663
674	7896	9651
675	7907	9639
676	7919	9627
677	7931	9615
678	7942	9603
679	7953	9591
680	7965	9579
681	7977	9567
682	7988	9555
683	8000	9544
684	8011	9532
685	8023	9520
686	8034	9508
687	8046	9497
688	8058	9485
689	8070	9473
690	8081	9461
691	8092	9449
692	8104	9437
693	8115	9425
694	8127	9413
695	8138	9401
696	8150	9389
697	8161	9377
698	8173	9365
699	8184	9353
700	8196	9341
701	8207	9329
702	8218	9317
703	8230	9305
704	8241	9293
705	8253	9281
706	8264	9269
707	8275	9257
708	8287	9245
709	8298	9233
710	8310	9222
711	8321	9210
712	8333	9198
713	8345	9187
714	8357	9175
715	8368	9163
716	8380	9151
717	8391	9139
718	8403	9128
719	8414	9116
720	8426	9104
721	8438	9092
722	8449	9080
723	8460	9068
724	8472	9056
725	8483	9044
726	8495	9032
727	8507	9021
728	8518	9009
729	8530	8997
730	8541	8985
731	8553	8973
732	8564	8961
733	8575	8949
734	8587	8937
735	8598	8925
736	8610	8914
737	8622	8902
738	8633	8890
739	8644	8878
740	8656	8866
741	8667	8854
742	8679	8842
743	8690	8830
744	8702	8819
745	8713	8807
746	8725	8795
747	8736	8783
748	8747	8771
749	8759	8759
750	8770	8747
751	8782	8735
752	8793	8723
753	8805	8711
754	8816	8700
755	8828	8688
756	8839	8676
757	8851	8664
758	8862	8652
759	8873	8640
760	8885	8628
761	8896	8616
762	8908	8604
763	8919	8592
764	8930	8580
765	8942	8569
766	8954	8557
767	8965	8545
768	8977	8533
769	8988	8521
770	8999	8509
771	9011	8498
772	9022	8485
773	9034	8474
774	9046	8462
775	9057	8450
776	9069	8438
777	9080	8427
778	9092	8415
779	9104	8403
780	9116	8392
781	9128	8381
782	9139	8369
783	9150	8357
784	9162	8345
785	9173	8333
786	9185	8321
787	9197	8309
788	9208	8298
789	9219	8286
790	9231	8274
791	9243	8262
792	9254	8250
793	9265	8239
794	9277	8227
795	9289	8215
796	9300	8203
797	9311	8191
798	9323	8179
799	9334	8167
800	9346	8156
801	9357	8144
802	9369	8132
803	9380	8120
804	9392	8109
805	9403	8097
806	9415	8085
807	9426	8073
808	9438	8061
809	9450	8050
810	9461	8038
811	9473	8026
812	9484	8014
813	9496	8002
814	9507	7990
815	9520	7980
816	9531	7968
817	9543	7957
818	9555	7945
819	9566	7933
820	9578	7921
821	9589	7909
822	9601	7898
823	9613	7886
824	9624	7874
825	9636	7862
826	9648	7851
827	9659	7839
828	9671	7828
829	9682	7816
830	9694	7804
831	9705	7792
832	9717	7780
833	9728	7769
834	9740	7757
835	9751	7745
836	9763	7733
837	9774	7721
838	9786	7709
839	9797	7697
840	9808	7686
841	9820	7674
842	9832	7662
843	9843	7651
844	9855	7639
845	9867	7627
846	9878	7615
847	9890	7604
848	9901	7592
849	9912	7580
850	9924	7568
851	9935	7556
852	9947	7545
853	9958	7533
854	9970	7521
855	9982	7509
856	9993	7498
857	10005	7486
858	10016	7474
859	10027	7462
860	10039	7450
861	10050	7439
862	10062	7427
863	10074	7415
864	10085	7404
865	10097	7392
866	10109	7380
867	10120	7368
868	10132	7357
869	10143	7345
870	10154	7333
871	10166	7321
872	10178	7310
873	10189	7298
874	10201	7286
875	10213	7275
876	10224	7263
877	10236	7251
878	10247	7239
879	10258	7227
880	10270	7216
881	10281	7204
882	10293	7192
883	10304	7180
884	10316	7169
885	10328	7157
886	10339	7145
887	10351	7133
888	10362	7122
889	10374	7110
890	10386	7099
891	10397	7087
892	10409	7075
893	10421	7064
894	10432	7052
895	10443	7040
896	10455	7028
897	10466	7016
898	10478	7004
899	10489	6993
900	10501	6981
901	10512	6969
902	10524	6958
903	10536	6946
904	10548	6935
905	10559	6923
906	10571	6911
907	10582	6899
908	10594	6887
909	10605	6876
910	10616	6864
911	10628	6852
912	10639	6840
913	10651	6828
914	10662	6817
915	10674	6805
916	10685	6793
917	10697	6781
918	10708	6770
919	10720	6758
920	10731	6746
921	10742	6734
922	10754	6722
923	10766	6711
924	10777	6699
925	10788	6687
926	10800	6675
927	10811	6663
928	10822	6652
929	10834	6640
930	10845	6628
931	10856	6616
932	10868	6604
933	10880	6593
934	10891	6581
935	10902	6569
936	10914	6558
937	10925	6546
938	10937	6534
939	10949	6522
940	10960	6511
941	10971	6499
942	10983	6487
943	10994	6475
944	11006	6463
945	11017	6452
946	11029	6440
947	11041	6429
948	11052	6417
949	11064	6405
950	11075	6393
951	11087	6382
952	11098	6370
953	11110	6358
954	11122	6347
955	11133	6335
956	11144	6323
957	11156	6311
958	11167	6299
959	11179	6288
960	11190	6276
961	11202	6264
962	11213	6253
963	11224	6241
964	11236	6229
965	11247	6217
966	11259	6206
967	11270	6194
968	11282	6182
969	11293	6170
970	11305	6159
971	11317	6147
972	11328	6135
973	11340	6124
974	11352	6112
975	11363	6101
976	11376	6089
977	11387	6078
978	11399	6066
979	11411	6054
980	11422	6043
981	11434	6031
982	11445	6019
983	11457	6007
984	11468	5996
985	11480	5984
986	11491	5972
987	11503	5961
988	11514	5949
989	11526	5937
990	11537	5926
991	11549	5914
992	11561	5902
993	11572	5891
994	11583	5879
995	11595	5867
996	11606	5855
997	11619	5844
998	11630	5832
999	11641	5820
1000	11653	5809
1001	11664	5797
1002	11676	5785
1003	11687	5773
1004	11699	5762
1005	11710	5750
1006	11722	5739
1007	11734	5727
1008	11748	5716
1009	11759	5705
1010	11771	5693
1011	11782	5681
1012	11794	5670
1013	11806	5658
1014	11817	5646
1015	11829	5635
1016	11840	5623
1017	11852	5611
1018	11864	5600
1019	11875	5588
1020	11887	5576
1021	11898	5565
1022	11910	5553
1023	11922	5542
1024	11934	5530
1025	11945	5518
1026	11956	5506
1027	11968	5495
1028	11979	5483
1029	11991	5471
1030	12002	5459
1031	12014	5448
1032	12025	5436
1033	12037	5425
1034	12049	5413
1035	12060	5401
1036	12072	5389
1037	12083	5378
1038	12094	5366
1039	12106	5354
1040	12117	5342
1041	12129	5331
1042	12140	5319
1043	12153	5308
1044	12165	5296
1045	12176	5285
1046	12187	5273
1047	12199	5261
1048	12211	5250
1049	12223	5238
1050	12234	5226
1051	12245	5214
1052	12257	5203
1053	12268	5191
1054	12280	5179
1055	12291	5167
1056	12302	5156
1057	12313	5144
1058	12325	5132
1059	12336	5120
1060	12348	5109
1061	12359	5097
1062	12371	5085
1063	12383	5074
1064	12394	5062
1065	12406	5050
1066	12417	5039
1067	12428	5027
1068	12440	5015
1069	12451	5004
1070	12463	4992
1071	12475	4980
1072	12486	4969
1073	12498	4957
1074	12510	4945
1075	12521	4934
1076	12532	4922
1077	12544	4910
1078	12555	4898
1079	12567	4887
1080	12578	4875
1081	12590	4863
1082	12601	4852
1083	12613	4840
1084	12624	4828
1085	12636	4817
1086	12647	4805
1087	12658	4793
1088	12670	4781
1089	12681	4770
1090	12694	4758
1091	12705	4747
1092	12717	4735
1093	12728	4723
1094	12740	4712
1095	12751	4700
1096	12763	4688
1097	12774	4677
1098	12786	4665
1099	12798	4653
1100	12809	4642
1101	12821	4630
1102	12832	4618
1103	12844	4607
1104	12855	4595
1105	12866	4583
1106	12879	4572
1107	12890	4560
1108	12902	4549
1109	12914	4537
1110	12926	4525
1111	12937	4514
1112	12949	4502
1113	12961	4491
1114	12972	4479
1115	12984	4467
1116	12995	4456
1117	13007	4444
1118	13018	4432
1119	13030	4420
1120	13041	4409
1121	13053	4397
1122	13064	4385
1123	13075	4374
1124	13087	4362
1125	13099	4350
1126	13110	4339
1127	13122	4327
1128	13134	4316
1129	13145	4304
1130	13157	4292
1131	13168	4281
1132	13180	4269
1133	13191	4257
1134	13203	4246
1135	13215	4234
1136	13226	4222
1137	13237	4210
1138	13249	4199
1139	13261	4187
1140	13272	4176
1141	13283	4164
1142	13295	4152
1143	13307	4141
1144	13318	4129
1145	13330	4117
1146	13341	4106
1147	13353	4094
1148	13364	4082
1149	13376	4071
1150	13387	4059
1151	13399	4047
1152	13411	4036
1153	13422	4024
1154	13434	4012
1155	13445	4001
1156	13457	3989
1157	13468	3977
1158	13479	3966
1159	13492	3954
1160	13503	3942
1161	13515	3931
1162	13527	3919
1163	13538	3908
1164	13550	3896
1165	13561	3884
1166	13573	3873
1167	13584	3861
1168	13597	3850
1169	13608	3838
1170	13620	3826
1171	13631	3814
